Skills,Data Engineer,Data Scientist,Data Analyst,ML Engineer,Software Engineer,Cloud Engineer,Bussiness Analyst
NoSQL,147500,79200,0,101029,54800,0,0
JavaScript,147500,0,0,70200,79200,0,0
Shell,147500,72000,90670,166000,79200,0,0
C++,147500,0,123064,166000,0,0,0
SQL,134241,87725,143500,104668,75000,64800,129000
Python,134241,89375,140000,101029,79200,64800,129000
Java,134241,79200,101714,101029,79200,64800,0
Scala,134241,89415,75200,79200,79200,0,0
MongoDB,119750,163782,0,0,0,0,0
Go,0,111175,157500,69000,79200,0,0
R,0,87725,153500,79200,54800,0,129000
SAS,0,0,145000,0,0,0,0
C#,0,0,0,0,79200,0,0
Perl,0,0,0,0,0,0,79200
PowerShell,0,0,0,0,0,64800,0
